,,"День
месяца","Среднесуточная
температура,
июль 2016 года","Минимальная
температура
в этот день
за 2014–2017гг.","Максимальная
температура
в этот день
за 2014–2017гг."
,07/01/16,1 июля,+17.75°C,+17.75°C,+23.67°C
,07/02/16,2 июля,+15.75°C,+15.75°C,+26.00°C
,07/03/16,3 июля,+17.75°C,+17.75°C,+29.00°C
,07/04/16,4 июля,+19.38°C,+19.38°C,+21.43°C
,07/05/16,5 июля,+19.62°C,+16.67°C,+22.75°C
,07/06/16,6 июля,+20.38°C,+15.50°C,+24.75°C
,07/07/16,7 июля,+20.88°C,+20.88°C,+27.00°C
,07/08/16,8 июля,+21.88°C,+21.88°C,+25.83°C
,07/09/16,9 июля,+22.12°C,+22.12°C,+25.20°C
,07/10/16,10 июля,+21.50°C,+21.50°C,+24.43°C
,07/11/16,11 июля,+21.12°C,+18.67°C,+25.25°C
,07/12/16,12 июля,+21.75°C,+15.00°C,+29.12°C
,07/13/16,13 июля,+22.00°C,+22.00°C,+25.50°C
,07/14/16,14 июля,+23.38°C,+21.29°C,+24.00°C
,07/15/16,15 июля,+20.62°C,+20.62°C,+22.50°C
,07/16/16,16 июля,+20.12°C,+16.43°C,+20.12°C
,07/17/16,17 июля,+19.50°C,+15.29°C,+22.50°C
,07/18/16,18 июля,+18.25°C,+18.25°C,+22.67°C
,07/19/16,19 июля,+17.38°C,+17.38°C,+27.00°C
,07/20/16,20 июля,+19.62°C,+19.62°C,+23.75°C
,07/21/16,21 июля,+20.38°C,+20.00°C,+28.25°C
,07/22/16,22 июля,+21.50°C,+20.33°C,+26.43°C
,07/23/16,23 июля,+22.00°C,+22.00°C,+23.00°C
,07/24/16,24 июля,+21.38°C,+21.38°C,+22.12°C
,07/25/16,25 июля,+20.38°C,+19.88°C,+23.00°C
,07/26/16,26 июля,+14.00°C,+14.00°C,+19.67°C
,07/27/16,27 июля,+17.25°C,+15.00°C,+21.33°C
,07/28/16,28 июля,+17.00°C,+14.00°C,+20.00°C
,07/29/16,29 июля,+18.75°C,+14.83°C,+19.67°C
,07/30/16,30 июля,+18.75°C,+16.57°C,+20.33°C
,07/31/16,31 июля,+17.00°C,+14.71°C,+20.00°C
,08/01/16,1 августа,+15.62°C,+15.62°C,+21.00°C
,08/02/16,2 августа,+14.38°C,+14.38°C,+20.00°C
,08/03/16,3 августа,+15.38°C,+15.38°C,+21.00°C
,08/04/16,4 августа,+17.75°C,+17.75°C,+22.00°C
,08/05/16,5 августа,+19.50°C,+17.29°C,+19.50°C
,08/06/16,6 августа,+20.50°C,+17.33°C,+21.50°C
,08/07/16,7 августа,+21.50°C,+17.33°C,+21.50°C
,08/08/16,8 августа,+15.88°C,+12.43°C,+18.57°C
,08/09/16,9 августа,+18.00°C,+15.00°C,+18.17°C
,08/10/16,10 августа,+17.25°C,+13.50°C,+20.00°C
,08/11/16,11 августа,+17.00°C,+16.25°C,+24.20°C
,08/12/16,12 августа,+17.62°C,+17.62°C,+22.00°C
,08/13/16,13 августа,+18.12°C,+18.12°C,+23.50°C
,08/14/16,14 августа,+17.88°C,+16.33°C,+19.71°C
,08/15/16,15 августа,+19.12°C,+15.00°C,+20.67°C
,08/16/16,16 августа,+19.75°C,+18.33°C,+20.00°C
,08/17/16,17 августа,+19.62°C,+17.50°C,+19.62°C
,08/18/16,18 августа,+17.75°C,+17.75°C,+19.25°C
,08/19/16,19 августа,+18.00°C,+18.00°C,+23.60°C
,08/20/16,20 августа,+6.67°C,+6.67°C,+23.00°C
,08/21/16,21 августа,+10.57°C,+10.57°C,+20.88°C
,08/22/16,22 августа,+13.25°C,+13.25°C,+18.50°C
,08/23/16,23 августа,+18.33°C,+15.50°C,+21.00°C
,08/24/16,24 августа,+16.83°C,+16.83°C,+23.71°C
,08/25/16,25 августа,+14.83°C,+14.50°C,+22.60°C
,08/26/16,26 августа,+19.43°C,+18.33°C,+20.75°C
,08/27/16,27 августа,+21.29°C,+10.60°C,+21.29°C
,08/28/16,28 августа,+18.33°C,+11.00°C,+18.33°C
,08/29/16,29 августа,+16.60°C,+11.40°C,+16.60°C
,08/30/16,30 августа,+13.83°C,+12.00°C,+18.67°C
,08/31/16,31 августа,+10.33°C,+10.33°C,+20.25°C
,09/01/16,1 сентября,+12.43°C,+12.43°C,+24.12°C
,09/02/16,2 сентября,+14.50°C,+12.20°C,+22.62°C
